DATA IN NGS FORMAT FROM DATABASE 19JUL15XA_V002                                                 
Made from vgosDB with read.py. Observed delays and rates in card #2                             
    17.890    25.100  1000.327  1007.089    22.873    93.289 0 0            3406                
        0.7185508532   0.01284        0.0444963298   0.02323  0             3408                
KATH12M   YARRA12M  2227-088 2019 07 15 17 04   1.0000000000                3501                
    3420907.93271791   0.01305  -316266.2796885688   0.01427 0      I       3502                
   0.00054    .00000    .00000    .00000  -0.074933812999993       0.0      3503                
  0.636   0.088  0.0004  0.0027 -0.0003 -0.0003      14423.426              3504
   0.00000   0.00000    .00000    .00000    .00000    .00000                3505                
    17.890    10.800  1000.327   995.590    22.873    59.090 0 0            3506                
        0.0589761445   0.00922       -0.0065630913   0.00568  0             3508                
SEJONG    SESHAN25  2227-088 2019 07 15 17 04   1.0000000000                3601                
    -435783.48169159   0.00863  -156756.9163817097   0.02491 0      I       3602                
   0.00139    .00000    .00000    .00000   2.813067232046490       0.0      3603                
  1.371   1.417 -0.0079  0.0329  0.0014  0.0018      52678.469              3604
   0.00000   0.00000    .00000    .00000    .00000    .00000                3605                
    19.389    25.100   991.589  1007.089    99.000    93.289 0 0            3606                
        0.5301075542   0.03467        0.0010015201   0.02149  0             3608                
SEJONG    YARRA12M  2227-088 2019 07 15 17 04   1.0000000000                3701                
   -2943687.15263965   0.02014  -287903.3124177602   0.02077 0      I       3702                
   0.00036    .00000    .00000    .00000  -3.553561836304113       0.0      3703                
  1.371   0.088 -0.0079  0.0027  0.0014 -0.0003      49228.893              3704
   0.00000   0.00000    .00000    .00000    .00000    .00000                3705                
    19.389    10.800   991.589   995.590    99.000    59.090 0 0            3706                
       -0.0332878591   0.04951        0.0060077978   0.01094  0             3708                
SESHAN25  YARRA12M  2227-088 2019 07 15 17 04   1.0000000000                3801                
   -2507903.73060026   0.01488  -131146.3309489299   0.04296 0      I       3802                
   0.00077    .00000    .00000    .00000  -3.455416893283640       0.0      3803                
  1.417   0.088  0.0329  0.0027  0.0018 -0.0003      -3449.577              3804
   0.00000   0.00000    .00000    .00000    .00000    .00000                3805                
    25.100    10.800  1007.089   995.590    93.289    59.090 0 0            3806                
       -0.6630972545   0.01279       -0.0183130317   0.02215  0             3808                
ISHIOKA   NYALES20  0322+222 2019 07 15 17 06  46.0000000000                3901                
    2283018.17486103   0.01109  1282999.3888839381   0.00705 0      I       3902                
   0.00048    .00000    .00000    .00000  -1.019363256747525       0.0      3903                
  3.158   1.266 -0.0108  0.0226 -0.0232 -0.0125    -171480.362              3904
   0.00000  -0.02136    .00000    .00000    .00000    .00000                3905                
    18.600     5.378   998.664  1011.648    99.332    91.356 0 0            3906                
        0.2923106940   0.01308        0.0012766481   0.00527  0             3908                
HART15M   KATH12M   1639-062 2019 07 15 17 07  50.0000000000                4001                
    9966358.37077396   0.01628  2170880.2251135623   0.01298 0      I       4002                
   0.00037    .00000    .00000    .00000   3.998132371818746       0.0      4003                
  0.097   1.827  0.0013 -0.0011  0.0018  0.0085      -1245.089              4004
   0.00000   0.00000    .00000    .00000    .00000    .00000                4005                
     8.634    17.887   871.033  1000.292    42.600    22.807 0 0            4006                
       -0.3304881549   0.00912       -0.0083379879   0.00355  0             4008                
HART15M   MATERA    1639-062 2019 07 15 17 07  50.0000000000                4101                
    6957419.33365920   0.01779   -58171.9359752179   0.01556 1      I       4102                
   0.00035    .00000    .00000    .00000   1.321812070161208       0.0      4103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4104
   0.00000   1.88778    .00000    .00000    .00000    .00000                4105                
     8.634    22.428   871.033   952.700    42.600    51.857 0 0            4106                
        0.6806338684   0.01066       -0.0266101124   0.00403  0             4108                
HART15M   SEJONG    1639-062 2019 07 15 17 07  50.0000000000                4201                
   11668629.92761558   0.02986  1893182.6561502852   0.02382 0      I       4202                
   0.00021    .00000    .00000    .00000   2.085074571210136       0.1      4203                
  0.097   3.573  0.0013 -0.0260  0.0018 -0.0249     -36050.483              4204
   0.00000   0.00000    .00000    .00000    .00000    .00000                4205                
     8.634    19.300   871.033   991.500    42.600    99.000 0 0            4206                
       -0.2120143981   0.03283       -0.0065690042   0.00554  0             4208                
HART15M   SESHAN25  1639-062 2019 07 15 17 07  50.0000000000                4301                
    9368384.18746629   0.01516  1905131.6862489104   0.01303 0      I       4302                
   0.00041    .00000    .00000    .00000   3.327589954649799       0.0      4303                
  0.097   2.636  0.0013  0.0695  0.0018 -0.0119      16628.184              4304
   0.00000   0.00000    .00000    .00000    .00000    .00000                4305                
     8.634    25.133   871.033  1006.967    42.600    93.200 0 0            4306                
        0.3974224501   0.00711        0.0117131923   0.00236  0             4308                
HART15M   WETTZELL  1639-062 2019 07 15 17 07  50.0000000000                4401                
    9462920.15322987   0.00563     6233.9922178601   0.00449 0      I       4402                
   0.00106    .00000    .00000    .00000   1.946732407328226       0.0      4403                
  0.097   1.058  0.0013 -0.0056  0.0018 -0.0113      -6178.802              4404
   0.00000  -0.01112    .00000    .00000    .00000    .00000                4405                
     8.634    21.933   871.033   944.500    42.600    35.567 0 0            4406                
        1.2521748701   0.00402        0.0077739262   0.00181  0             4408                
HART15M   YARRA12M  1639-062 2019 07 15 17 07  50.0000000000                4501                
    5223017.21340422   0.01198  1855608.3885231023   0.00956 0      I       4502                
   0.00050    .00000    .00000    .00000  -0.252013385991815       0.0      4503                
  0.097   0.124  0.0013  0.0036  0.0018  0.0009      13178.617              4504
   0.00000   0.00000    .00000    .00000    .00000    .00000                4505                
     8.634    10.751   871.033   995.516    42.600    59.195 0 0            4506                
       -0.2685053688   0.00719       -0.0048813539   0.00296  0             4508                
KATH12M   MATERA    1639-062 2019 07 15 17 07  50.0000000000                4601                
   -3008916.78721581   0.02953 -2229047.6176854074   0.02584 0      I       4602                
   0.00021    .00000    .00000    .00000   0.236848148322413       0.1      4603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4604
   0.00000   1.88778    .00000    .00000    .00000    .00000                4605                
    17.887    22.428  1000.292   952.700    22.807    51.857 0 0            4606                
        0.9762104405   0.02158        0.0021258735   0.00895  0             4608                
KATH12M   SEJONG    1639-062 2019 07 15 17 07  50.0000000000                4701                
    1702274.30968654   0.01160  -277696.9197697643   0.00460 0      I       4702                
   0.00038    .00000    .00000    .00000   2.558994207201879       0.0      4703                
