DATA IN NGS FORMAT FROM DATABASE 19JUL04XE_V005                                                 
Observed delays and rates in card #2, modified errors in card #9                                
   -1831289.47098997    .04769  -245980.8982919260    .04477 0      I       3702                
    .00014    .00000    .00000    .00000  -2.130432731948039        0.      3703                
  6.058   0.438 -0.0978 -0.0186  0.1266  0.0335       9630.723              3704
   -.02000    .00000    .00000    .00000    .00000    .00000                3705                
    27.500     5.300  1008.700   869.100    73.600    48.418 0 0            3706                
        -.4455327319    .03375        -.0293783974    .02138  0             3708                
KATH12M   YARRA12M  0003-066 2019 07 04 18 49  34.0000000000                3801                
    4227336.74693095    .01233  -269355.6065269355    .02515 0      I       3802                
    .00077    .00000    .00000    .00000   2.380912886166025        0.      3803                
  0.173   0.371 -0.0001  0.0009 -0.0001 -0.0082      39937.021              3804
    .00000    .00000    .00000    .00000    .00000    .00000                3805                
     9.500     9.187   999.988   983.700    60.065    99.274 0 0            3806                
        4.0032697203    .00977         .0137897843    .01342  0             3808                
HART15M   ZELENCHK  1406-267 2019 07 04 18 49  43.0000000000                3901                
   15726440.08123654    .08562   132350.8171048566    .11253 2      I       3902                
    .00009    .00000    .00000    .00000    .384087450708330        0.      3903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3904
    .00000    .00000    .00000    .00000    .00000    .00000                3905                
     5.300    14.321   869.100   887.700    48.742    88.714 0 0            3906                
        -.4396738200    .01352         .0188012221    .01403  0             3908                
FORTLEZA  NYALES20  OJ287    2019 07 04 18 51   8.0000000000                4001                
    8503427.97148520    .00647  -510543.6689161256    .01320 0      I       4002                
    .00148    .00000    .00000    .00000   2.031423459995781        0.      4003                
  0.818   0.987  0.0006 -0.0002  0.0038  0.0354    -507821.763              4004
   -.02600    .00833    .00000    .00000    .00000    .00000                4005                
    27.500     8.800  1008.700  1013.400    73.600    81.147 0 0            4006                
        -.0998112891    .00444        -.0834225991    .00612  0             4008                
MATERA    NYALES20  OJ287    2019 07 04 18 51   8.0000000000                4101                
   -2497855.83308152    .00341  -828038.7616895319    .00696 1      I       4102                
    .00279    .00000    .00000    .00000  -2.756978928960550        0.      4103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4104
   -.19597    .00833    .00000    .00000    .00000    .00000                4105                
    24.800     8.800   960.914  1013.400    58.584    81.147 0 0            4106                
