DATA IN NGS FORMAT FROM DATABASE 19JUN20XE_V006                                                 
Observed delays and rates in card #2, modified errors in card #9                                
  1.534  -0.097  0.0214 -0.0022 -0.0200 -0.0107      23290.898              2204
    .00000    .00000    .00000    .00000    .00000    .00000                2205                
    28.789    14.354  1008.611   981.400    29.900    56.639 0 0            2206                
       -3.8127638002    .01236        -.0269531948    .00764  0             2208                
HART15M   YARRA12M  1639-062 2019 06 20 18 30  30.0000000000                2301                
    3470217.91319275    .01947  1877801.6437265320    .03489 0      I       2302                
    .00046    .00000    .00000    .00000   4.149675825224179        0.      2303                
  0.115  -0.097 -0.0004 -0.0022 -0.0009 -0.0107      11664.013              2304
    .00000    .00000    .00000    .00000    .00000    .00000                2305                
     5.700    14.354   873.900   981.400    46.500    56.639 0 0            2306                
       -7.9865130835    .01190        -.0131386956    .01442  0             2308                
HART15M   KATH12M   1639-062 2019 06 20 18 30  30.0000000000                2401                
    7910962.98621212    .02355  2213257.2918613200    .04220 0      I       2402                
    .00038    .00000    .00000    .00000   2.279473879193233        0.      2403                
  0.115   0.659 -0.0004 -0.0001 -0.0009  0.0309       -149.605              2404
    .00000    .00000    .00000    .00000    .00000    .00000                2405                
     5.700    13.391   873.900  1000.400    46.500    37.295 0 0            2406                
       -8.3268913988    .01305        -.0146705114    .01586  0             2408                
KATH12M   ZELENCHK  1639-062 2019 06 20 18 30  30.0000000000                2501                
   -3879677.89900877    .00793 -1815912.2194481410    .01617 0      I       2502                
    .00120    .00000    .00000    .00000  -5.692865824159314        0.      2503                
  0.659   0.814 -0.0001  0.0034  0.0309 -0.0017     210842.175              2504
    .00000    .00000    .00000    .00000    .00000    .00000                2505                
    13.391    15.185  1000.400   883.415    37.295    75.971 0 0            2506                
        7.6371952797    .01271         .0371858106    .01844  0             2508                
KATH12M   YEBES40M  1639-062 2019 06 20 18 30  30.0000000000                2601                
    3738779.72492605    .00768 -2466829.0686694870    .00966 0      I       2602                
    .00098    .00000    .00000    .00000   4.718802404921819        0.      2603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2604
    .00000 -10.59959    .00000    .00000    .00000    .00000                2605                
    13.391    23.885  1000.400   908.085    37.295    27.000 0 0            2606                
        3.2938302841    .01274         .0429487118    .01176  0             2608                
YARRA12M  YEBES40M  1639-062 2019 06 20 18 30  30.0000000000                2701                
    8179512.65444233    .00722 -2131374.8351245700    .00890 0      I       2702                
    .00103    .00000    .00000    .00000   4.426786525078521        0.      2703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2704
    .00000 -10.59959    .00000    .00000    .00000    .00000                2705                
    14.354    23.885   981.400   908.085    56.639    27.000 0 0            2706                
        2.9663710487    .01076         .0366737893    .00973  0             2708                
YARRA12M  ZELENCHK  1639-062 2019 06 20 18 30  30.0000000000                2801                
     561057.92274007    .00802 -1480457.5057292030    .01636 0      I       2802                
    .00119    .00000    .00000    .00000   5.386031317062489        0.      2803                
 -0.097   0.814 -0.0022  0.0034 -0.0107 -0.0017     199028.557              2804
    .00000    .00000    .00000    .00000    .00000    .00000                2805                
    14.354    15.185   981.400   883.415    56.639    75.971 0 0            2806                
        7.2943260914    .01132         .0145402148    .01643  0             2808                
ISHIOKA   WARK12M   2355-106 2019 06 20 18 33   4.0000000000                2901                
 -263340941.79314270    .03798   703989.4591353484    .05615 0      I       2902                
    .00021    .00000    .00000    .00000  -3.196419683583472        0.      2903                
  1.499   0.582 -0.0155 -0.0034 -0.0087  0.0002 -256101150.562              2904
    .00000    .00000    .00000    .00000    .00000    .00000                2905                
    19.687    14.952   996.500  1006.500    98.800   100.000 0 0            2906                
        -.6963248825    .02495        -.0370110026    .02492  0             2908                
BADARY    MEDICINA  NRAO512  2019 06 20 18 33  49.0000000000                3001                
    1528906.89383123    .00691 -1133153.2993689600    .01635 0      I       3002                
    .00152    .00000    .00000    .00000    .446436612490452        0.      3003                
  0.661   0.667  0.0001 -0.0010  0.0010 -0.0031    -223781.328              3004
    .00000    .00000    .00000    .00000    .00000    .00000                3005                
    13.577    28.700   917.589  1008.673    71.546    29.927 0 0            3006                
        -.5182054346    .00393        -.0077537303    .00524  0             3008                
MEDICINA  YEBES40M  NRAO512  2019 06 20 18 33  49.0000000000                3101                
    2951398.65409372    .00339  -164380.3243891920    .00801 0      I       3102                
    .00310    .00000    .00000    .00000   2.974730431278116        0.      3103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3104
    .00000   2.34249    .00000    .00000    .00000    .00000                3105                
    28.700    23.800  1008.673   908.023    29.927    27.000 0 0            3106                
        -.9555867269    .00640        -.0187448730    .00909  0             3108                
MEDICINA  ZELENCHK  NRAO512  2019 06 20 18 33  49.0000000000                3201                
   -3383860.72815155    .00368   349344.9287001054    .00870 0      I       3202                
    .00285    .00000    .00000    .00000  -1.545336639931794        0.      3203                
  0.667   0.498 -0.0010  0.0001 -0.0031 -0.0004     222319.471              3204
    .00000    .00000    .00000    .00000    .00000    .00000                3205                
    28.700    15.100  1008.673   883.500    29.927    75.800 0 0            3206                
        3.5172798071    .00472        -.0031686629    .00724  0             3208                
HART15M   ZELENCHK  NRAO512  2019 06 20 18 33  49.0000000000                3301                
  -14065911.79630554    .00859   305845.6650203209    .01752 0      I       3302                
    .00111    .00000    .00000    .00000  -5.706033025220884        0.      3303                
  0.244   0.498 -0.0107  0.0001 -0.0049 -0.0004     210692.554              3304
    .00000    .00000    .00000    .00000    .00000    .00000                3305                
     5.709    15.100   873.900   883.500    46.544    75.800 0 0            3306                
        -.8354743272    .00548         .0225057125    .00801  0             3308                
HART15M   MEDICINA  NRAO512  2019 06 20 18 33  49.0000000000                3401                
  -10682047.33798846    .01363   -43499.0298831450    .03225 0      I       3402                
    .00077    .00000    .00000    .00000   -.340390503279392        0.      3403                
