DATA IN NGS FORMAT FROM DATABASE 19JAN10XE_V002                                                 
Made from vgosDB with read.py. Observed delays and rates in card #2                             
   0.00440    .00000    .00000    .00000   1.626569577923881       0.0      4303                
  0.084   0.419 -0.0049 -0.0268  0.0031  0.0324     218743.299              4304
   0.01831   0.00000    .00000    .00000    .00000    .00000                4305                
     1.175    -1.000   913.788   884.900    40.000    61.600 0 0            4306                
        1.0338257259   0.00362        0.0185645909   0.00627  0             4308                
KATH12M   YARRA12M  1057-797 2019 01 10 18 41  17.0000000000                4401                
   -4429103.51240163   0.01944   -65599.4091142242   0.02443 1      I       4402                
   0.00040    .00000    .00000    .00000  -2.749202764893627       0.0      4403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4404
   0.00000   0.00000    .00000    .00000    .00000    .00000                4405                
    26.785    15.371   990.625   983.000    82.559    50.000 0 0            4406                
        0.5753031371   0.02642       -0.0022967533   0.02139  0             4408                
KATH12M   YARRA12M  1255-316 2019 01 10 18 43  57.0000000000                4501                
    1751578.41810403   0.04112  -192805.6965545005   0.03918 1      I       4502                
   0.00016    .00000    .00000    .00000   0.085440707547277       0.1      4503                
